name,address,lat,lon,timings
Enjoy Vegetarian Restaurant,"839 Kearny Street, San Francisco 94108",37.7956750000,-122.4052010000,"11 AM to 2:30 PM, 5 PM to 9 PM (Mon-Sun)"
Loving Hut,"524 Irving Street, San Francisco 94122",37.7642750000,-122.4636210000,11 AM to 9 PM (Mon-Sun)
Great India,"6127 Geary Boulevard, San Francisco 94121",37.7800780000,-122.4850170000,11:30 AM to 10:30 PM (Mon-Sun)
Enjoy Vegetarian,"754 Kirkham Street, San Francisco 94122",37.7601860000,-122.4690780000,"Closed (Mon),11 AM to 2:30 PM, 5 PM to 9 PM (Tue-Sun)"
Thai Idea Vegetarian,"710 Polk Street, San Francisco 94109",37.7835142000,-122.4190258000,"11 AM to 3 PM, 5 PM to 10:30 PM (Mon-Fri),12 Noon to 10:30 PM (Sat-Sun)"
Thai Chef,"4133 18th Street, San Francisco 94114",37.7608027778,-122.4358000000,"12 Noon to 3 PM, 5 PM to 10 PM (Mon, Wed, Thu), Closed (Tue),12 Noon to 10:30 PM (Fri-Sat),12 Noon to 9:30 PM (Sun)"
Sweet Lime Thai Cuisine,2100 Sutter Street 94115,37.7860300000,-122.4358800000,"11 AM to 2:30 PM, 5 PM to 10 PM (Mon-Sat), 5 PM to 10 PM (Sun)"
Emmy's Chinese Restaurant,"1923 Ocean Avenue, San Francisco 94127",37.7254820000,-122.4627100000,11 AM to 11 PM (Mon-Sun)
Greens,"2 Marina Boulevard, San Francisco 94123",37.8067444444,-122.4321444444,"5:30 PM to 9 PM (Mon), 11:30 AM to 2:30 PM, 5:30 PM to 9 PM (Tue-Thu, Sun), 11:30 AM to 2:30 PM, 5 PM to 9 PM (Fri-Sat)"
Gracias Madre,"2211 Mission District Street, San Francisco 94110",37.7615500000,-122.4195555556,"11 AM to 10 PM (Mon-Tue), 11 AM to 11 PM (Wed-Fri), 10 AM to 11 PM (Sat), 10 AM to 10 PM (Sun)"
Udupi Palace,"1007 Valencia Street, San Francisco 94110",37.7567138889,-122.4211666667,"11:30 AM to 10 PM (Mon, Tue, Wed, Thu, Sun), 11:30 AM to 10:30 PM (Fri-Sat)"
Golden Era Vegan Restaurant,"395 Golden Gate Avenue, San Francisco 94102",37.7814653000,-122.4170516000,10:30 AM to 8:30 PM
Cha-Ya,"762 Valencia Street, San Francisco 94110",37.7606861111,-122.4216527778,"5:30 PM to 9:30 PM (Mon-Tue),11:30 AM to 3 PM, 5:30 PM to 9:30 PM (Wed-Thu),11:30 AM to 3 PM, 5 PM to 10 PM (Fri),11:30 AM to 10 PM (Sat),11:30 AM to 9:30 PM (Sun)"
